,dist_to_cage,type_cage,ccaat,GCbox,tatabox,init,CpG200,tpm_class,n
1,distal,broad,0,0,0,0,0,tpm_iqr,11
2,distal,broad,0,0,0,0,0,tpm_lower_quart,2
3,distal,broad,0,0,0,0,0,tpm_upper_quart,7
4,distal,broad,0,0,0,0,1,tpm_iqr,46
5,distal,broad,0,0,0,0,1,tpm_lower_quart,15
6,distal,broad,0,0,0,0,1,tpm_upper_quart,50
7,distal,broad,0,0,0,0,1,NA,1
8,distal,narrow,0,0,0,0,0,tpm_iqr,9
9,distal,narrow,0,0,0,0,0,tpm_lower_quart,2
10,distal,narrow,0,0,0,0,1,tpm_iqr,49
11,distal,narrow,0,0,0,0,1,tpm_lower_quart,27
12,distal,narrow,0,0,0,0,1,tpm_upper_quart,3
13,downstram200,broad,0,0,0,0,0,tpm_iqr,1
14,downstram200,broad,0,0,0,0,0,tpm_lower_quart,2
15,downstram200,broad,0,0,0,0,1,tpm_iqr,17
16,downstram200,broad,0,0,0,0,1,tpm_lower_quart,9
17,downstram200,broad,0,0,0,0,1,tpm_upper_quart,12
18,downstram200,narrow,0,0,0,0,0,tpm_iqr,1
19,downstram200,narrow,0,0,0,0,0,tpm_lower_quart,2
20,downstram200,narrow,0,0,0,0,1,tpm_iqr,13
21,downstram200,narrow,0,0,0,0,1,tpm_lower_quart,13
22,upstream200,broad,0,0,0,0,0,tpm_iqr,6
23,upstream200,broad,0,0,0,0,0,tpm_lower_quart,3
24,upstream200,broad,0,0,0,0,0,tpm_upper_quart,5
25,upstream200,broad,0,0,0,0,1,tpm_iqr,123
26,upstream200,broad,0,0,0,0,1,tpm_lower_quart,39
27,upstream200,broad,0,0,0,0,1,tpm_upper_quart,101
28,upstream200,broad,0,0,0,0,1,NA,1
29,upstream200,narrow,0,0,0,0,0,tpm_iqr,5
30,upstream200,narrow,0,0,0,0,0,tpm_lower_quart,5
31,upstream200,narrow,0,0,0,0,1,tpm_iqr,80
32,upstream200,narrow,0,0,0,0,1,tpm_lower_quart,63
33,upstream200,narrow,0,0,0,0,1,tpm_upper_quart,2
