,dist_to_cage,type_cage,ccaat,GCbox,tatabox,init,CpG200,tpm_class,n
1,distal,broad,0,0,0,0,0,tpm_iqr,3
2,distal,broad,0,0,0,0,0,tpm_lower_quart,2
3,distal,broad,0,0,0,0,0,tpm_upper_quart,3
4,distal,broad,0,0,0,0,1,tpm_iqr,35
5,distal,broad,0,0,0,0,1,tpm_lower_quart,4
6,distal,broad,0,0,0,0,1,tpm_upper_quart,34
7,distal,broad,0,0,0,0,1,NA,1
8,distal,narrow,0,0,0,0,0,tpm_iqr,6
9,distal,narrow,0,0,0,0,1,tpm_iqr,33
10,distal,narrow,0,0,0,0,1,tpm_lower_quart,22
11,downstram200,broad,0,0,0,0,0,tpm_iqr,1
12,downstram200,broad,0,0,0,0,0,tpm_upper_quart,1
13,downstram200,broad,0,0,0,0,1,tpm_iqr,2
14,downstram200,broad,0,0,0,0,1,tpm_upper_quart,2
15,downstram200,narrow,0,0,0,0,1,tpm_iqr,1
16,downstram200,narrow,0,0,0,0,1,tpm_lower_quart,1
17,upstream200,broad,0,0,0,0,0,tpm_iqr,3
18,upstream200,broad,0,0,0,0,0,tpm_lower_quart,4
19,upstream200,broad,0,0,0,0,0,tpm_upper_quart,2
20,upstream200,broad,0,0,0,0,1,tpm_iqr,80
21,upstream200,broad,0,0,0,0,1,tpm_lower_quart,34
22,upstream200,broad,0,0,0,0,1,tpm_upper_quart,70
23,upstream200,broad,0,0,0,0,1,NA,1
24,upstream200,narrow,0,0,0,0,0,tpm_iqr,1
25,upstream200,narrow,0,0,0,0,0,tpm_lower_quart,1
26,upstream200,narrow,0,0,0,0,1,tpm_iqr,60
27,upstream200,narrow,0,0,0,0,1,tpm_lower_quart,45
