,dist_to_cage,type_cage,ccaat,GCbox,tatabox,init,CpG200,tpm_class,n
1,distal,broad,0,0,0,0,0,tpm_iqr,14
2,distal,broad,0,0,0,0,0,tpm_lower_quart,7
3,distal,broad,0,0,0,0,0,tpm_upper_quart,8
4,distal,broad,0,0,0,0,1,tpm_iqr,92
5,distal,broad,0,0,0,0,1,tpm_lower_quart,37
6,distal,broad,0,0,0,0,1,tpm_upper_quart,67
7,distal,narrow,0,0,0,0,0,tpm_iqr,9
8,distal,narrow,0,0,0,0,0,tpm_lower_quart,10
9,distal,narrow,0,0,0,0,0,tpm_upper_quart,2
10,distal,narrow,0,0,0,0,1,tpm_iqr,44
11,distal,narrow,0,0,0,0,1,tpm_lower_quart,32
12,distal,narrow,0,0,0,0,1,tpm_upper_quart,4
13,downstram200,broad,0,0,0,0,0,tpm_iqr,3
14,downstram200,broad,0,0,0,0,0,tpm_upper_quart,1
15,downstram200,broad,0,0,0,0,1,tpm_iqr,15
16,downstram200,broad,0,0,0,0,1,tpm_lower_quart,1
17,downstram200,broad,0,0,0,0,1,tpm_upper_quart,6
18,downstram200,narrow,0,0,0,0,0,tpm_iqr,1
19,downstram200,narrow,0,0,0,0,0,tpm_lower_quart,1
20,downstram200,narrow,0,0,0,0,1,tpm_iqr,3
21,downstram200,narrow,0,0,0,0,1,tpm_lower_quart,2
22,downstram200,narrow,0,0,0,0,1,tpm_upper_quart,1
23,upstream200,broad,0,0,0,0,0,tpm_iqr,14
24,upstream200,broad,0,0,0,0,0,tpm_lower_quart,5
25,upstream200,broad,0,0,0,0,0,tpm_upper_quart,14
26,upstream200,broad,0,0,0,0,1,tpm_iqr,236
27,upstream200,broad,0,0,0,0,1,tpm_lower_quart,90
28,upstream200,broad,0,0,0,0,1,tpm_upper_quart,160
29,upstream200,narrow,0,0,0,0,0,tpm_iqr,10
30,upstream200,narrow,0,0,0,0,0,tpm_lower_quart,7
31,upstream200,narrow,0,0,0,0,1,tpm_iqr,93
32,upstream200,narrow,0,0,0,0,1,tpm_lower_quart,76
33,upstream200,narrow,0,0,0,0,1,tpm_upper_quart,5
