,seqnames,start,end,width,strand,score,cluster,tpm,nr_ctss,dominant_ctss,tpm.dominant_ctss,q_0.1,q_0.9,interquantile_width
1,chr1,1447542,1447545,4,+,2.44899201918731,1,2.44899201918731,2,1447542,1.50199618986346,0,3,4
2,chr1,2323276,2323281,6,+,3.52828711610328,2,3.52828711610328,3,2323281,1.60780830809656,0,5,6
3,chr1,10459117,10459133,17,+,26.4601640829062,3,26.4601640829062,8,10459121,8.69997222986586,3,9,7
4,chr1,11072708,11072719,12,+,8.40672003399814,4,8.40672003399814,6,11072718,2.29615872941552,3,11,9
5,chr1,11994782,11994786,5,+,2.34311342154807,5,2.34311342154807,2,11994782,1.3168932834196,0,4,5
6,chr1,12040501,12040503,3,+,3.21562312313062,6,3.21562312313062,2,12040503,1.66072423752729,0,2,3
7,chr1,12227042,12227048,7,+,5.30834015413795,7,5.30834015413795,2,12227048,3.27703804812065,0,6,7
8,chr1,16693737,16693740,4,+,4.23698798425188,8,4.23698798425188,4,16693739,1.1847357628018,0,3,4
9,chr1,17231691,17231699,9,+,1.72870606392329,9,1.72870606392329,9,17231694,0.735858477908362,2,7,6
10,chr1,22379185,22379204,20,+,9.91766788450183,10,9.91766788450183,6,22379202,3.30356528011498,0,19,20
11,chr1,23345961,23345962,2,+,2.74032355296312,11,2.74032355296312,2,23345961,1.89892120716788,0,1,2
12,chr1,24018282,24018296,15,+,55.0739159136512,12,55.0739159136512,10,24018296,37.202823251975,9,14,6
13,chr1,24104908,24104909,2,+,3.77229284118765,13,3.77229284118765,2,24104908,2.56112979416464,0,1,2
14,chr1,25664799,25664825,27,+,9.92685977990431,14,9.92685977990431,5,25664825,5.00274095658869,0,26,27
15,chr1,26496399,26496418,20,+,4.30282505955424,15,4.30282505955424,2,26496418,3.17093720811449,0,19,20
16,chr1,26606551,26606591,41,+,30.6450869085053,16,30.6450869085053,15,26606590,8.35388924086248,5,39,35
17,chr1,26644449,26644450,2,+,5.34069157461389,17,5.34069157461389,2,26644449,4.68395424272485,0,1,2
18,chr1,26798942,26798970,29,+,3.92021070576874,18,3.92021070576874,4,26798968,1.23759248593829,0,28,29
19,chr1,27248213,27248251,39,+,24.2838437113274,19,24.2838437113274,15,27248247,3.88735539449378,2,35,34
20,chr1,28562613,28562676,64,+,113.310746843499,20,113.310746843499,31,28562635,20.1419729885495,21,53,33
21,chr1,28832553,28832565,13,+,43.5472416954242,21,43.5472416954242,10,28832556,14.9901477056382,2,10,9
22,chr1,29213612,29213615,4,+,3.40111312644322,22,3.40111312644322,2,29213615,2.05778222371506,0,3,4
23,chr1,32479455,32479474,20,+,27.3658276694439,23,27.3658276694439,9,32479471,10.2179955136112,12,16,5
24,chr1,32688000,32688009,10,+,17.1581829720511,24,17.1581829720511,7,32688008,8.22079454249729,1,8,8
25,chr1,33116809,33116818,10,+,7.69606255301692,25,7.69606255301692,5,33116815,2.0313021060173,0,9,10
26,chr1,37791755,37791756,2,+,0.313567830987788,26,0.313567830987788,2,37791756,0.183010724793198,0,1,2
27,chr1,38158168,38158196,29,+,4.24203462871595,27,4.24203462871595,3,38158188,1.89892120716788,0,28,29
28,chr1,38478405,38478409,5,+,8.40054895209074,28,8.40054895209074,4,38478406,5.26845477756117,1,4,4
29,chr1,39456957,39456960,4,+,2.52814961651547,29,2.52814961651547,2,39456960,1.44910045609771,0,3,4
30,chr1,39491990,39492043,54,+,51.3441973278785,30,51.3441973278785,20,39492022,17.9791233877214,7,33,27
31,chr1,43124094,43124099,6,+,7.72885593713092,31,7.72885593713092,4,43124094,2.34914420239462,0,5,6
32,chr1,43148086,43148097,12,+,7.68181213267027,32,7.68181213267027,4,43148089,4.39180419499349,0,11,12
33,chr1,45241217,45241233,17,+,6.00420613078668,33,6.00420613078668,5,45241217,1.50199618986346,0,16,17
34,chr1,45477918,45477930,13,+,17.5635080239173,34,17.5635080239173,8,45477926,6.70411894968865,0,10,11
35,chr1,45478608,45478610,3,+,2.58092338866645,35,2.58092338866645,2,45478610,1.34333090272816,0,2,3
36,chr1,45478638,45478647,10,+,2.13175617757713,36,2.13175617757713,2,45478647,1.21116304702301,0,9,10
37,chr1,46049713,46049717,5,+,5.2205709561912,37,5.2205709561912,3,46049717,2.1107462625662,0,4,5
38,chr1,46153853,46153873,21,+,7.28001819170938,38,7.28001819170938,4,46153853,2.72016235613453,0,20,21
39,chr1,46769333,46769383,51,+,132.678017882801,39,132.678017882801,27,46769370,38.0326872729499,28,43,16
40,chr1,52195522,52195529,8,+,3.03133939312032,40,3.03133939312032,2,52195529,2.1107462625662,0,7,8
41,chr1,52870274,52870275,2,+,3.85263096120771,41,3.85263096120771,2,52870274,2.87922968228723,0,1,2
42,chr1,54665840,54665867,28,+,10.9624193351329,42,10.9624193351329,8,54665856,2.190201594551,0,27,28
43,chr1,68150880,68150884,5,+,10.2696031935858,43,10.2696031935858,3,68150884,7.71510924383463,0,4,5
44,chr1,76190440,76190443,4,+,3.16324955007634,44,3.16324955007634,2,76190440,2.05778222371506,0,3,4
45,chr1,76251940,76251942,3,+,4.03360952650923,45,4.03360952650923,3,76251941,2.667147538805,0,2,3
46,chr1,93297568,93297638,71,+,134.176404880121,46,134.176404880121,29,93297597,41.6473818936976,28,37,10
47,chr1,109642813,109642825,13,+,14.8712303842442,47,14.8712303842442,12,109642821,3.9404442697718,0,9,10
48,chr1,109642846,109642854,9,+,4.88986609209932,48,4.88986609209932,7,109642852,1.29045764702565,0,8,9
49,chr1,109756540,109756554,15,+,7.48622541439984,49,7.48622541439984,5,109756540,2.61413665840062,0,14,15
50,chr1,109756578,109756579,2,+,3.13711654655476,50,3.13711654655476,2,109756579,2.16371526763428,0,1,2
51,chr1,110091237,110091257,21,+,2.23736917374373,51,2.23736917374373,2,110091237,1.1847357628018,0,20,21
52,chr1,111992073,111992125,53,+,34.2500977110617,52,34.2500977110617,29,111992116,4.02008258248302,13,46,34
