,seqnames,start,end,width,strand,score,cluster,tpm,nr_ctss,dominant_ctss,tpm.dominant_ctss,q_0.1,q_0.9,interquantile_width
1,chr1,2323280,2323281,2,+,3.5193482148585,1,3.5193482148585,2,2323281,1.9913559632259,0,1,2
2,chr1,7831365,7831367,3,+,2.37939917076676,2,2.37939917076676,2,7831365,1.18969958538338,0,2,3
3,chr1,10459117,10459126,10,+,16.9479689975815,3,16.9479689975815,8,10459121,4.09488490112895,0,9,10
4,chr1,11072711,11072718,8,+,3.41362629415139,4,3.41362629415139,3,11072711,1.21794057926456,0,7,8
5,chr1,22379200,22379204,5,+,10.2297983161147,5,10.2297983161147,5,22379202,3.90070692640308,0,4,5
6,chr1,24018291,24018296,6,+,13.2087129537439,6,13.2087129537439,5,24018296,7.32386087149556,0,5,6
7,chr1,25071938,25071939,2,+,4.90686583024475,7,4.90686583024475,2,25071938,3.8868316329557,0,1,2
8,chr1,26496399,26496418,20,+,3.72996795345407,8,3.72996795345407,2,26496418,2.07541884737611,0,19,20
9,chr1,26606556,26606590,35,+,9.01014689703721,9,9.01014689703721,4,26606590,4.19192196414962,0,34,35
10,chr1,27248213,27248251,39,+,15.29494915373,10,15.29494915373,10,27248247,2.92748034443315,0,38,39
11,chr1,28562632,28562674,43,+,29.5616347427747,11,29.5616347427747,13,28562665,7.07638599567433,2,35,34
12,chr1,28832554,28832563,10,+,14.4581867162403,12,14.4581867162403,5,28832556,5.45060712123721,1,9,9
13,chr1,32479464,32479471,8,+,13.707107522969,13,13.707107522969,6,32479471,4.71812919605201,3,7,5
14,chr1,32688001,32688009,9,+,16.7647001140651,14,16.7647001140651,6,32688008,7.68110545564537,4,7,4
15,chr1,33116811,33116815,5,+,2.40758080848967,15,2.40758080848967,2,33116811,1.27439348675049,0,4,5
16,chr1,33116843,33116846,4,+,3.47366955959628,16,3.47366955959628,2,33116843,2.41118203981852,0,3,4
17,chr1,39491990,39492026,37,+,32.6106582198969,17,32.6106582198969,12,39492022,10.2164818750503,3,33,31
18,chr1,43124094,43124095,2,+,2.87294498252662,18,2.87294498252662,2,43124094,1.49984768871516,0,1,2
19,chr1,45241217,45241233,17,+,2.8866065042693,19,2.8866065042693,2,45241217,1.65454910607797,0,16,17
20,chr1,46049713,46049717,5,+,4.16140042460438,20,4.16140042460438,3,46049715,1.5279922516326,0,4,5
