,seqnames,start,end,width,strand,score,cluster,tpm,nr_ctss,dominant_ctss,tpm.dominant_ctss,q_0.1,q_0.9,interquantile_width
1,chr1,1447542,1447545,4,+,2.60213454059341,1,2.60213454059341,2,1447542,1.72003777528188,0,3,4
2,chr1,2323276,2323281,6,+,2.42618421105265,2,2.42618421105265,3,2323281,1.20220440910814,0,5,6
3,chr1,10459117,10459133,17,+,10.665081108297,3,10.665081108297,8,10459121,3.12854295002043,0,9,10
4,chr1,11072708,11072719,12,+,6.1074819316563,4,6.1074819316563,6,11072716,1.74471482012198,0,10,11
5,chr1,11994782,11994786,5,+,0.5853625963273,5,0.5853625963273,2,11994786,0.341664752352435,0,4,5
6,chr1,12040501,12040503,3,+,2.45385926855456,6,2.45385926855456,2,12040503,1.44869416343343,0,2,3
7,chr1,12227042,12227048,7,+,2.05966329150738,7,2.05966329150738,2,12227048,1.17756652619586,0,6,7
8,chr1,16693737,16693740,4,+,2.37313914745114,8,2.37313914745114,4,16693739,0.808290025723419,0,3,4
9,chr1,17231691,17231699,9,+,61.7377011632588,9,61.7377011632588,9,17231694,23.8278594412674,2,6,5
10,chr1,22379185,22379204,20,+,6.94808830779744,10,6.94808830779744,6,22379202,2.633941916395,0,19,20
11,chr1,23345961,23345962,2,+,1.32307099244109,11,1.32307099244109,2,23345961,1.12829734496034,0,1,2
12,chr1,24018282,24018296,15,+,16.3094872079079,12,16.3094872079079,10,24018296,5.97781797540286,2,14,13
13,chr1,24104908,24104909,2,+,3.4904507076194,13,3.4904507076194,2,24104908,2.38678456661913,0,1,2
14,chr1,25664799,25664825,27,+,5.62039851201951,14,5.62039851201951,5,25664825,2.36207460647943,0,26,27
15,chr1,26496399,26496418,20,+,3.61321917024488,15,3.61321917024488,2,26496418,2.21383820590557,0,19,20
16,chr1,26606551,26606591,41,+,6.53406025596401,16,6.53406025596401,15,26606577,1.49801446209706,5,39,35
17,chr1,26644449,26644450,2,+,0.169898474658235,17,0.169898474658235,2,26644449,0.121490838089411,0,1,2
18,chr1,26798942,26798970,29,+,2.66810242393776,18,2.66810242393776,4,26798968,0.906704928734515,0,28,29
19,chr1,27248213,27248251,39,+,16.2421952039107,19,16.2421952039107,15,27248247,2.75755799009109,2,35,34
20,chr1,28562613,28562676,64,+,58.6439281570297,20,58.6439281570297,31,28562665,10.3244466713,22,54,33
21,chr1,28832553,28832565,13,+,33.9160379761791,21,33.9160379761791,10,28832556,10.6725670731995,1,10,10
22,chr1,29213612,29213615,4,+,1.51832444589467,22,1.51832444589467,2,29213615,0.906704928734515,0,3,4
23,chr1,32479455,32479474,20,+,14.0161521321604,23,14.0161521321604,9,32479471,4.19300184251444,9,16,8
24,chr1,32688000,32688009,10,+,16.4844840215416,24,16.4844840215416,7,32688008,7.86426360207029,1,8,8
25,chr1,33116809,33116818,10,+,4.92780579029682,25,4.92780579029682,5,33116811,1.39938096433931,0,9,10
26,chr1,37791755,37791756,2,+,2.72520288040301,26,2.72520288040301,2,37791755,1.72003777528188,0,1,2
27,chr1,38158168,38158196,29,+,2.67125041950045,27,2.67125041950045,3,38158188,1.05441075814553,0,28,29
28,chr1,38478405,38478409,5,+,7.43112278134998,28,7.43112278134998,4,38478406,4.29208452262461,1,4,4
29,chr1,39456957,39456960,4,+,1.83810474615951,29,1.83810474615951,2,39456960,1.05441075814553,0,3,4
30,chr1,39491990,39492043,54,+,40.8779868148885,30,40.8779868148885,20,39492022,13.2102343440155,7,33,27
31,chr1,43124094,43124099,6,+,7.47605140554482,31,7.47605140554482,4,43124094,2.93065964882273,0,5,6
32,chr1,43148086,43148097,12,+,2.49818317850675,32,2.49818317850675,4,43148089,1.15293082275338,0,11,12
33,chr1,45241217,45241233,17,+,5.6919301040775,33,5.6919301040775,5,45241217,1.64601570879931,0,16,17
34,chr1,45477918,45477930,13,+,15.5984246755028,34,15.5984246755028,8,45477926,5.23382413476874,0,10,11
35,chr1,45478608,45478610,3,+,2.06040641462794,35,2.06040641462794,2,45478610,1.47335344017353,0,2,3
36,chr1,45478638,45478647,10,+,1.88724557144886,36,1.88724557144886,2,45478647,0.955929654855356,0,9,10
37,chr1,46049713,46049717,5,+,2.49915851919146,37,2.49915851919146,3,46049717,1.17756652619586,0,4,5
38,chr1,46153853,46153873,21,+,4.85975212703857,38,4.85975212703857,4,46153866,1.86812178187693,0,20,21
39,chr1,46769333,46769383,51,+,62.9904835949006,39,62.9904835949006,27,46769370,15.376369671032,28,43,16
40,chr1,52195522,52195529,8,+,2.84860266162494,40,2.84860266162494,2,52195529,1.84343755650381,0,7,8
41,chr1,52870274,52870275,2,+,3.58867083562939,41,3.58867083562939,2,52870274,2.26324581057744,0,1,2
42,chr1,54665840,54665867,28,+,11.0776105663517,42,11.0776105663517,8,54665856,2.53506666541573,0,27,28
43,chr1,68150880,68150884,5,+,5.64005723712691,43,5.64005723712691,3,68150884,4.41595144931052,3,4,2
44,chr1,76190440,76190443,4,+,2.6262058133668,44,2.6262058133668,2,76190440,1.35007511294633,0,3,4
45,chr1,76251940,76251942,3,+,7.85658358730754,45,7.85658358730754,3,76251941,4.5398330696917,0,2,3
46,chr1,93297568,93297638,71,+,212.554330034911,46,212.554330034911,29,93297597,59.7893334465213,27,38,12
47,chr1,109642813,109642825,13,+,48.164411167701,47,48.164411167701,12,109642821,16.8211901725345,2,9,8
48,chr1,109642846,109642854,9,+,8.78550495998469,48,8.78550495998469,7,109642846,1.5966754452927,0,8,9
49,chr1,109756540,109756554,15,+,7.24765586343852,49,7.24765586343852,5,109756540,2.83173895214645,0,14,15
50,chr1,109756578,109756579,2,+,1.17417580545052,50,1.17417580545052,2,109756579,0.685343560221534,0,1,2
51,chr1,110091237,110091257,21,+,2.47837245790668,51,2.47837245790668,2,110091257,1.35007511294633,0,20,21
52,chr1,111992073,111992125,53,+,48.7467947911663,52,48.7467947911663,29,111992116,5.33299877643448,13,46,34
53,chr1,113162440,113162457,18,+,34.7913421716088,53,34.7913421716088,8,113162454,13.235124357833,12,16,5
54,chr1,116915865,116915867,3,+,11.1020837406626,54,11.1020837406626,3,116915866,7.0200590943067,0,2,3
55,chr1,144534036,144534040,5,+,24.3940717909127,55,24.3940717909127,5,144534038,13.7329657129222,1,3,3
56,chr1,145096408,145096410,3,+,2.40093196488643,56,2.40093196488643,3,145096408,1.00516510512113,0,2,3
57,chr1,145382755,145382759,5,+,13.1667101728608,57,13.1667101728608,5,145382757,7.91393505007539,1,3,3
58,chr1,145438487,145438496,10,+,42.6122698801584,58,42.6122698801584,10,145438490,13.8823331286876,2,8,7
59,chr1,149858464,149858483,20,+,198.072538538783,59,198.072538538783,16,149858468,108.778704164422,3,6,4
60,chr1,150266281,150266291,11,+,2.82033026162553,60,2.82033026162553,3,150266281,1.62134478346606,0,10,11
61,chr1,150480583,150480586,4,+,1.6125668387964,61,1.6125668387964,4,150480585,0.734511809087077,0,3,4
62,chr1,150521884,150521893,10,+,2.79496396230356,62,2.79496396230356,3,150521884,1.32542502505195,0,9,10
63,chr1,151372039,151372050,12,+,4.76536157400743,63,4.76536157400743,4,151372049,2.90592813219279,0,11,12
64,chr1,153606556,153606562,7,+,1.10042389736167,64,1.10042389736167,2,153606556,0.562490778816358,0,6,7
65,chr1,153963235,153963244,10,+,26.9530067871028,65,26.9530067871028,6,153963238,11.4186991517504,1,4,4
66,chr1,154245100,154245117,18,+,6.0608924270737,66,6.0608924270737,5,154245105,1.62134478346606,0,17,18
67,chr1,155278657,155278664,8,+,1.2476465080327,67,1.2476465080327,3,155278664,0.931315916593503,0,7,8
68,chr1,155278728,155278731,4,+,0.316232251224405,68,0.316232251224405,2,155278728,0.170330342000029,0,3,4
69,chr1,155658871,155658884,14,+,14.2532261777501,69,14.2532261777501,5,155658882,7.91393505007539,10,12,3
70,chr1,156084501,156084503,3,+,4.82295025773707,70,4.82295025773707,3,156084502,3.72249849534792,0,2,3
71,chr1,156182797,156182798,2,+,3.49080022017036,71,3.49080022017036,2,156182798,2.48563511504923,0,1,2
72,chr1,156737327,156737331,5,+,3.26471522304028,72,3.26471522304028,3,156737327,2.11503708810422,0,4,5
73,chr1,160313173,160313176,4,+,2.72501092446633,73,2.72501092446633,2,160313176,1.62134478346606,0,3,4
74,chr1,161123768,161123773,6,+,3.44008153850162,74,3.44008153850162,2,161123768,1.76939334080005,0,5,6
75,chr1,161172157,161172162,6,+,4.35363785227996,75,4.35363785227996,2,161172157,2.36207460647943,0,5,6
76,chr1,161284171,161284172,2,+,3.21831336234429,76,3.21831336234429,2,161284171,1.94218266192382,0,1,2
77,chr1,161475212,161475222,11,+,1.95520925250381,77,1.95520925250381,5,161475220,0.808290025723419,2,8,7
78,chr1,162531511,162531513,3,+,2.10814630062917,78,2.10814630062917,3,162531512,1.52267720071237,0,1,2
79,chr1,171454669,171454690,22,+,10.4663058706415,79,10.4663058706415,7,171454672,2.23854143190291,0,21,22
80,chr1,173446445,173446485,41,+,44.7056961394586,80,44.7056961394586,17,173446474,7.78975891972127,24,37,14
81,chr1,173446522,173446528,7,+,3.460833229163,81,3.460833229163,3,173446527,2.04094900746891,0,6,7
82,chr1,174969161,174969215,55,+,16.628858328988,82,16.628858328988,11,174969187,2.48563511504923,5,49,45
83,chr1,182808481,182808491,11,+,16.3855876150888,83,16.3855876150888,8,182808482,3.94533897443093,0,9,10
84,chr1,201924631,201924643,13,+,7.91299275925333,84,7.91299275925333,5,201924634,2.5597839739465,0,12,13
85,chr1,203830724,203830731,8,+,5.35939854050492,85,5.35939854050492,3,203830727,2.75755799009109,0,7,8
86,chr1,207495019,207495029,11,+,11.9483463060456,86,11.9483463060456,7,207495023,3.20276302036107,1,10,10
87,chr1,207818478,207818481,4,+,7.50964796554084,87,7.50964796554084,3,207818478,4.09392906168589,0,3,4
88,chr1,207925454,207925458,5,+,8.45713336545591,88,8.45713336545591,5,207925457,3.64823070647754,0,4,5
89,chr1,214776538,214776557,20,+,3.92719535214397,89,3.92719535214397,3,214776548,1.57200771859452,0,19,20
90,chr1,218458635,218458653,19,+,4.88939342025316,90,4.88939342025316,3,218458635,2.23854143190291,0,18,19
91,chr1,225117384,225117394,11,+,2.03495179202165,91,2.03495179202165,2,225117384,1.02978668690052,0,10,11
92,chr1,225965527,225965540,14,+,10.4217002595435,92,10.4217002595435,6,225965528,2.53506666541573,0,12,13
93,chr1,226250415,226250417,3,+,3.51508191157947,93,3.51508191157947,2,226250417,2.38678456661913,0,2,3
94,chr1,228270398,228270431,34,+,26.3430414445714,94,26.3430414445714,17,228270423,4.06916244082951,1,29,29
95,chr1,228327980,228327983,4,+,2.94715904307099,95,2.94715904307099,2,228327980,1.86812178187693,0,3,4
96,chr1,228645804,228645808,5,+,1.34752730848997,96,1.34752730848997,2,228645804,1.12829734496034,0,4,5
97,chr1,228675083,228675095,13,+,1.00242971642347,97,1.00242971642347,2,228675095,0.660764964071031,0,12,13
